Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment

H1         Heat_Sink_TO-220       3837mil       2257mil       3837mil       1852mil       3837mil       1852mil  T         90.00 Comment        
TP2        SMD_TEST_POINT         667mil       3008mil        667mil       3008mil        667mil       3008mil  T         90.00 Test Point SMD 
TP3        SMD_TEST_POINT        1292mil       2768mil       1292mil       2768mil       1292mil       2768mil  T         90.00 Test Point SMD 
TP4        SMD_TEST_POINT        1278mil       3254mil       1278mil       3254mil       1278mil       3254mil  T         90.00 Test Point SMD 
TP5        SMD_TEST_POINT        1494mil       3687mil       1494mil       3687mil       1494mil       3687mil  T        180.00 Test Point SMD 
TP6        SMD_TEST_POINT        1489mil       3409mil       1489mil       3409mil       1489mil       3409mil  T        180.00 Test Point SMD 
TP7        SMD_TEST_POINT        2003mil       3695mil       2003mil       3695mil       2003mil       3695mil  T        180.00 Test Point SMD 
TP8        SMD_TEST_POINT        2027mil       3439mil       2027mil       3439mil       2027mil       3439mil  T        180.00 Test Point SMD 
TP9        SMD_TEST_POINT        1328mil       3535mil       1328mil       3535mil       1328mil       3535mil  T        270.00 Test Point SMD 
TP10       SMD_TEST_POINT        1876mil       3517mil       1876mil       3517mil       1876mil       3517mil  T        270.00 Test Point SMD 
TP11       SMD_TEST_POINT     980.758mil   3684.758mil    980.758mil   3684.758mil    980.758mil   3684.758mil  T        180.00 Test Point SMD 
TP12       SMD_TEST_POINT     966.758mil   3435.758mil    966.758mil   3435.758mil    966.758mil   3435.758mil  T        360.00 Test Point SMD 
TP13       SMD_TEST_POINT        2216mil       2692mil       2216mil       2692mil       2216mil       2692mil  T         90.00 Test Point SMD 
TP14       SMD_TEST_POINT        2214mil       2546mil       2214mil       2546mil       2214mil       2546mil  T         90.00 Test Point SMD 
TP15       SMD_TEST_POINT     821.758mil   3532.758mil    821.758mil   3532.758mil    821.758mil   3532.758mil  T        270.00 Test Point SMD 
TP16       SMD_TEST_POINT        2595mil       2637mil       2595mil       2637mil       2595mil       2637mil  T         90.00 Test Point SMD 
TP17       SMD_TEST_POINT         613mil       2727mil        613mil       2727mil        613mil       2727mil  T         90.00 Test Point SMD 
TP18       SMD_TEST_POINT        4076mil       3663mil       4076mil       3663mil       4076mil       3663mil  T        180.00 Test Point SMD 
TP19       SMD_TEST_POINT        2466mil       3633mil       2466mil       3633mil       2466mil       3633mil  T         90.00 Test Point SMD 
TP20       SMD_TEST_POINT        2646mil       3633mil       2646mil       3633mil       2646mil       3633mil  T        270.00 Test Point SMD 
TP21       SMD_TEST_POINT        2826mil       3633mil       2826mil       3633mil       2826mil       3633mil  T         90.00 Test Point SMD 
TP22       SMD_TEST_POINT        3296mil       3653mil       3296mil       3653mil       3296mil       3653mil  T        270.00 Test Point SMD 
TP23       SMD_TEST_POINT    1891.433mil   2913.976mil   1891.433mil   2913.976mil   1891.433mil   2913.976mil  T        360.00 Test Point SMD 
TP24       SMD_TEST_POINT    1671.433mil   2963.976mil   1671.433mil   2963.976mil   1671.433mil   2963.976mil  T        180.00 Test Point SMD 
TP25       SMD_TEST_POINT    2041.638mil      218.5mil   2041.638mil      218.5mil   2041.638mil      218.5mil  T        360.00 Test Point SMD 
TP26       SMD_TEST_POINT       576.5mil   3583.638mil      576.5mil   3583.638mil      576.5mil   3583.638mil  T         90.00 Test Point SMD 
TP27       SMD_TEST_POINT    4278.638mil     3658.5mil   4278.638mil     3658.5mil   4278.638mil     3658.5mil  T        360.00 Test Point SMD 
TP28       SMD_TEST_POINT      2794.5mil   2551.638mil     2794.5mil   2551.638mil     2794.5mil   2551.638mil  T         90.00 Test Point SMD 
TP29       SMD_TEST_POINT        3693mil        269mil       3693mil        269mil       3693mil        269mil  T         90.00 Test Point SMD 
TP30       SMD_TEST_POINT       580.5mil   2332.638mil      580.5mil   2332.638mil      580.5mil   2332.638mil  T         90.00 Test Point SMD 
TP31       SMD_TEST_POINT       540.5mil    850.638mil      540.5mil    850.638mil      540.5mil    850.638mil  T         90.00 Test Point SMD 
TP32       SMD_TEST_POINT         802mil       2066mil        802mil       2066mil        802mil       2066mil  T         90.00 Test Point SMD 
TP33       SMD_TEST_POINT         812mil       2306mil        812mil       2306mil        812mil       2306mil  T         90.00 Test Point SMD 
TP34       SMD_TEST_POINT        1877mil       1491mil       1877mil       1491mil       1877mil       1491mil  T         90.00 Test Point SMD 
TP35       SMD_TEST_POINT         802mil       1806mil        802mil       1806mil        802mil       1806mil  T         90.00 Test Point SMD 
TP36       SMD_TEST_POINT        2770mil       2098mil       2770mil       2098mil       2770mil       2098mil  T         90.00 Test Point SMD 
TP37       SMD_TEST_POINT        2770mil       1868mil       2770mil       1868mil       2770mil       1868mil  T         90.00 Test Point SMD 
TP38       SMD_TEST_POINT        1200mil        510mil       1200mil        510mil       1200mil        510mil  T         90.00 Test Point SMD 
TP39       SMD_TEST_POINT        1200mil        310mil       1200mil        310mil       1200mil        310mil  T         90.00 Test Point SMD 
TP40       SMD_TEST_POINT        3513mil       2128mil       3513mil       2128mil       3513mil       2128mil  T         90.00 Test Point SMD 
TP41       SMD_TEST_POINT        4275mil       2506mil       4275mil       2506mil       4275mil       2506mil  T        180.00 Test Point SMD 
TP42       SMD_TEST_POINT        3513mil       2413mil       3513mil       2413mil       3513mil       2413mil  T         90.00 Test Point SMD 
TP43       SMD_TEST_POINT        4135mil       2685mil       4135mil       2685mil       4135mil       2685mil  T        180.00 Test Point SMD 
U2         QFN-28_(CP2102)       3913mil       1629mil       3913mil       1629mil   3814.575mil   1688.055mil  T          0.00 CP2102

U4         TO220-7             4100.5mil       2258mil       4024mil       2108mil       4024mil       2108mil  T         90.00 TLE5206-2
U5         TQFN-6                1488mil       3556mil       1488mil       3556mil   1425.008mil   3593.401mil  T          0.00 MAX16820
U6         TQFN-6                2016mil       3574mil       2016mil       3574mil   1953.008mil   3611.401mil  T          0.00 MAX16820
U7         TSSOP14               2404mil       2645mil       2404mil       2645mil   2294.748mil   2721.771mil  T        270.00 MAX1169        
U8         TQFN-6             974.758mil   3572.758mil    974.758mil   3572.758mil    911.766mil    3610.16mil  T          0.00 MAX16820       
U10        SOT223                3776mil       3453mil       3776mil       3453mil   3685.449mil   3330.953mil  T        360.00 ADP3338AKCZ-3.3RL7
U13        TQFP144_M             1574mil       2149mil       1574mil       2149mil   1918.488mil   2566.323mil  T        270.00 MC55110-CP     
U14        SMT_5X3.2mm           2283mil       1993mil       2238mil       1943mil       2328mil       1943mil  T         90.00 Oscillator     
U16        SO-16                  910mil        390mil        910mil        390mil    773.189mil        565mil  T        270.00 PS2811-4       
U12        182H_N            1441.433mil   3063.976mil   1441.433mil   3063.976mil   1346.945mil   3138.976mil  T        360.00 REF02AU        
U9         S8_N              1891.433mil   3063.976mil   1891.433mil   3063.976mil   1796.945mil   3138.976mil  T        360.00 LT1124CS8      
U1         VQ100_N               1409mil       1200mil       1409mil       1200mil   1111.756mil    1436.22mil  T          0.00 XCR3128XL-10VQ100C
Designator TARGET_MECHANICAL_5 -19494.103mil -11268.465mil       -604mil       4271mil -19494.103mil -11268.465mil  T         90.00 Comment        
Designator TARGET_MECHANICAL_5 -19494.103mil -11268.465mil       5283mil       4279mil -19494.103mil -11268.465mil  T         90.00 Comment        
Designator TARGET_MECHANICAL_5 -19494.103mil -11268.465mil       5283mil       -584mil -19494.103mil -11268.465mil  T         90.00 Comment        

