Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       6218mil       5401mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -761mil       5318mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -778mil      -1854mil  -9866.142mil -10306.299mil  T        360.00 Comment        
SW1        SMD_DIP_GULL_WING_16PIN   3120.464mil    3933.37mil   3470.464mil    3763.87mil   3470.464mil    3763.87mil  B         90.00 SW-SPST-8POS   
C6A        1812              2429.094mil   2280.323mil   2429.095mil   2280.323mil   2429.094mil   2357.095mil  T        270.00 C0G            
C6B        1812              3476.338mil   2280.323mil   3476.339mil   2280.323mil   3476.338mil   2357.095mil  T        270.00 C0G            
C6C        1812               4527.52mil   2280.323mil    4527.52mil   2280.323mil    4527.52mil   2357.095mil  T        270.00 C0G            
C6D        1812              5559.016mil   2280.323mil   5559.016mil   2280.323mil   5559.016mil   2357.095mil  T        270.00 C0G            
C7         SMD_0805              1613mil   2253.001mil       1613mil       2253mil       1613mil   2208.001mil  T         90.00 Cap SMD        
C8A        SMD_0805          2059.094mil   1962.323mil   2059.095mil   1962.323mil   2059.094mil   1917.323mil  T         90.00 Cap SMD        
C8B        SMD_0805          3106.338mil   1962.323mil   3106.339mil   1962.323mil   3106.338mil   1917.323mil  T         90.00 Cap SMD        
C8C        SMD_0805           4157.52mil   1962.323mil    4157.52mil   1962.323mil    4157.52mil   1917.323mil  T         90.00 Cap SMD        
C8D        SMD_0805          5189.016mil   1962.323mil   5189.016mil   1962.323mil   5189.016mil   1917.323mil  T         90.00 Cap SMD        
C12A       SMD_0805          2172.094mil    984.323mil   2172.095mil    984.323mil   2172.094mil    939.323mil  T         90.00 Cap SMD        
C12B       SMD_0805          3219.338mil    984.323mil   3219.339mil    984.323mil   3219.338mil    939.323mil  T         90.00 Cap SMD        
C12C       SMD_0805           4270.52mil    984.323mil    4270.52mil    984.323mil    4270.52mil    939.323mil  T         90.00 Cap SMD        
C12D       SMD_0805          5302.016mil    984.323mil   5302.016mil    984.323mil   5302.016mil    939.323mil  T         90.00 Cap SMD        
C17A       SMD_0805          2519.094mil    932.323mil   2519.095mil    932.323mil   2519.094mil    887.323mil  T         90.00 Cap SMD        
C17B       SMD_0805          3566.338mil    932.323mil   3566.339mil    932.323mil   3566.338mil    887.323mil  T         90.00 Cap SMD        
C17C       SMD_0805           4617.52mil    932.323mil    4617.52mil    932.323mil    4617.52mil    887.323mil  T         90.00 Cap SMD        
C17D       SMD_0805          5649.016mil    932.323mil   5649.016mil    932.323mil   5649.016mil    887.323mil  T         90.00 Cap SMD        
C46A       SMD_0805          1938.094mil   1965.323mil   1938.094mil   1965.323mil   1938.094mil   1920.323mil  T         90.00 Cap            
C46B       SMD_0805          2985.338mil   1965.323mil   2985.339mil   1965.323mil   2985.338mil   1920.323mil  T         90.00 Cap            
C46C       SMD_0805           4036.52mil   1965.323mil    4036.52mil   1965.323mil    4036.52mil   1920.323mil  T         90.00 Cap            
C46D       SMD_0805          5068.016mil   1965.323mil   5068.016mil   1965.323mil   5068.016mil   1920.323mil  T         90.00 Cap            
C49A       SMD_0805          2318.094mil   3051.323mil   2318.095mil   3051.323mil   2273.094mil   3051.323mil  T        360.00 Cap SMD        
C49B       SMD_0805          3365.338mil   3051.323mil   3365.339mil   3051.323mil   3320.338mil   3051.323mil  T        360.00 Cap SMD        
C49C       SMD_0805           4416.52mil   3051.323mil    4416.52mil   3051.323mil    4371.52mil   3051.323mil  T        360.00 Cap SMD        
C49D       SMD_0805          5448.016mil   3051.323mil   5448.016mil   3051.323mil   5403.016mil   3051.323mil  T        360.00 Cap SMD        
C54        SMD_CAP_3216      4921.999mil    926.999mil       4922mil        927mil   4921.999mil    871.999mil  T        270.00 15V            
C59        SMD_CAP_6032      2756.001mil        929mil       2756mil        929mil   2756.001mil       1044mil  T        270.00 35V            
P1         HDR2X10                150mil       2850mil        100mil       3300mil        100mil       3300mil  T        270.00 Header 10X2    
P2         HDR1X2            1662.999mil   2009.001mil       1713mil       2009mil   1712.999mil   2009.001mil  T        180.00 Header 2       
P3         HDR2X5                 150mil       1800mil        100mil       2000mil        100mil       2000mil  T        270.00 Header 5X2     
Q10A       TO-71             2178.783mil   2222.823mil   2179.095mil   2222.323mil   2259.094mil   2221.323mil  T        180.00 IFN860         
Q10B       TO-71             3226.027mil   2222.823mil   3226.339mil   2222.323mil   3306.338mil   2221.323mil  T        180.00 IFN860         
Q10C       TO-71             4277.208mil   2222.823mil    4277.52mil   2222.323mil    4357.52mil   2221.323mil  T        180.00 IFN860         
Q10D       TO-71             5308.704mil   2222.823mil   5309.016mil   2222.323mil   5389.016mil   2221.323mil  T        180.00 IFN860         
