Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       -624mil      -1091mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       7364mil       8065mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil      -1340mil       8148mil -27864.189mil -16698.189mil  T          0.00 Comment        
U1         SuperFin_Footprint   2891.472mil   3340.677mil   3881.827mil    2600.52mil   3366.866mil   2583.197mil  T         90.00 SuperFin Module
D22        LED_SMD_0402      3226.047mil   6707.811mil   3226.047mil   6707.811mil   3243.764mil   6707.811mil  T        180.00 LED SMD 0402   
D105       LED_SMD_0402      5283.047mil   4280.811mil   5283.047mil   4280.811mil   5300.764mil   4280.811mil  T        180.00 LED SMD 0402   
D106       LED_SMD_0402      5283.047mil   4080.811mil   5283.047mil   4080.811mil   5300.764mil   4080.811mil  T        180.00 LED SMD 0402   
D107       LED_SMD_0402      5283.047mil   3880.811mil   5283.047mil   3880.811mil   5300.764mil   3880.811mil  T        180.00 LED SMD 0402   
D108       LED_SMD_0402      5283.047mil   3680.811mil   5283.047mil   3680.811mil   5300.764mil   3680.811mil  T        180.00 LED SMD 0402   
D109       LED_SMD_0402      5283.047mil   3480.811mil   5283.047mil   3480.811mil   5300.764mil   3480.811mil  T        180.00 LED SMD 0402   
D110       LED_SMD_0402      5283.047mil   3280.811mil   5283.047mil   3280.811mil   5300.764mil   3280.811mil  T        180.00 LED SMD 0402   
D111       LED_SMD_0402      5283.047mil   3080.811mil   5283.047mil   3080.811mil   5300.764mil   3080.811mil  T        180.00 LED SMD 0402   
D112       LED_SMD_0402      5283.047mil   2880.811mil   5283.047mil   2880.811mil   5300.764mil   2880.811mil  T        180.00 LED SMD 0402   
D113       LED_SMD_0402      5283.047mil   2680.811mil   5283.047mil   2680.811mil   5300.764mil   2680.811mil  T        180.00 LED SMD 0402   
D114       LED_SMD_0402      5283.047mil   2480.811mil   5283.047mil   2480.811mil   5300.764mil   2480.811mil  T        180.00 LED SMD 0402   
D115       LED_SMD_0402      5283.047mil   2280.811mil   5283.047mil   2280.811mil   5300.764mil   2280.811mil  T        180.00 LED SMD 0402   
D116       LED_SMD_0402      5228.047mil   1436.811mil   5228.047mil   1436.811mil   5228.047mil   1419.094mil  T         90.00 LED SMD 0402   
D117       LED_SMD_0402      4828.047mil    911.811mil   4828.047mil    911.811mil   4828.047mil    894.095mil  T         90.00 LED SMD 0402   
D118       LED_SMD_0402      4728.047mil    911.811mil   4728.047mil    911.811mil   4728.047mil    894.095mil  T         90.00 LED SMD 0402   
D119       LED_SMD_0402      4628.047mil    911.811mil   4628.047mil    911.811mil   4628.047mil    894.095mil  T         90.00 LED SMD 0402   
D120       LED_SMD_0402      4528.047mil    911.811mil   4528.047mil    911.811mil   4528.047mil    894.095mil  T         90.00 LED SMD 0402   
D121       LED_SMD_0402      4428.047mil    911.811mil   4428.047mil    911.811mil   4428.047mil    894.095mil  T         90.00 LED SMD 0402   
D122       LED_SMD_0402      4428.047mil   1436.811mil   4428.047mil   1436.811mil   4428.047mil   1419.094mil  T         90.00 LED SMD 0402   
D123       LED_SMD_0402      4328.047mil    911.811mil   4328.047mil    911.811mil   4328.047mil    894.095mil  T         90.00 LED SMD 0402   
D124       LED_SMD_0402      4228.047mil    911.811mil   4228.047mil    911.811mil   4228.047mil    894.095mil  T         90.00 LED SMD 0402   
D125       LED_SMD_0402      4228.047mil   1436.811mil   4228.047mil   1436.811mil   4228.047mil   1419.094mil  T         90.00 LED SMD 0402   
D126       LED_SMD_0402      4128.047mil    911.811mil   4128.047mil    911.811mil   4128.047mil    894.095mil  T         90.00 LED SMD 0402   
D127       LED_SMD_0402      4028.047mil    911.811mil   4028.047mil    911.811mil   4028.047mil    894.095mil  T         90.00 LED SMD 0402   
D128       LED_SMD_0402      4028.047mil   1436.811mil   4028.047mil   1436.811mil   4028.047mil   1419.094mil  T         90.00 LED SMD 0402   
D129       LED_SMD_0402      3928.047mil    911.811mil   3928.047mil    911.811mil   3928.047mil    894.095mil  T         90.00 LED SMD 0402   
D130       LED_SMD_0402      3828.047mil    911.811mil   3828.047mil    911.811mil   3828.047mil    894.095mil  T         90.00 LED SMD 0402   
D131       LED_SMD_0402      3828.047mil   1436.811mil   3828.047mil   1436.811mil   3828.047mil   1419.094mil  T         90.00 LED SMD 0402   
D132       LED_SMD_0402      3728.047mil    911.811mil   3728.047mil    911.811mil   3728.047mil    894.095mil  T         90.00 LED SMD 0402   
